label,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24
1,39.344548241065695,42.31585055296728,115.1545307096144,0,92.99488019624688,52.28189476707894,42.17561650149764,72.77471750600262,63.91276164558121,75.66246157849082,76.6063322929067,76.11640887494514,69.0358751636827,44.06397915277421,116.858596326701,95.49727491864132,0.0,0.0,90.7498054004418,80.62724993727852,125.24663819745363,0,0,0
1,39.29789148708778,42.18146206288384,115.21579572603014,0,93.01299889581104,52.22307434398408,42.18146206288384,72.78663919930705,63.8712767717584,75.64455141716371,76.57645409025372,76.17614799063631,69.02398255673324,43.9586864978296,116.84631822528628,95.3460378007412,0.0,0.0,90.6472857682138,80.07614632695095,125.65365647170574,0,0,0
1,39.589504750653305,42.56713045127299,116.23313515874317,0,94.24556866866214,52.128981314563134,42.20483312133547,74.70723313230019,63.64016153739067,75.16089848103138,76.43902183222917,76.56450297168158,69.05370843989749,44.34480565682452,117.80950262671512,95.7392543255337,0.0,0.0,92.6868888819472,81.40033111276671,125.4686350234624,0,0,0
2,36.58277368583731,33.88412148826683,75.44151807862727,0,69.142906966606,63.32615139006066,46.20657468073705,54.26527563139962,72.80451609148577,94.02798497816592,79.86055660639113,72.17278644520138,68.88721839472419,35.436423478155575,76.46890320070133,70.82081062466841,0.0,0.0,53.42334824420186,54.42428730099937,125.27130295410234,0,0,0
2,36.5478466824934,33.889929553995444,75.46539713111906,0,69.190487441811,63.18397666911733,46.15970701363403,54.29472205283628,72.58398299326745,93.81648051542152,79.7767220357523,72.1668337871688,68.88127846213865,35.42478700286301,76.51072992237823,70.8565305115635,0.0,0.0,53.42922848864919,54.3948441329344,124.85204299038878,0,0,0
2,36.43142914060218,33.87831060743838,75.54303139706144,0,68.38786242711149,64.33952262852199,46.32959879890268,54.182828671913285,73.19203182066121,94.52968823004858,79.9084582763794,72.07150130052923,68.84559870581506,35.40152284049509,76.31355676267003,70.7791384735433,0.0,0.0,53.35271810420318,54.36539578092379,126.32608549259476,0,0,0
3,36.67591628964237,36.49545484171495,103.2597941739432,0,84.46047842662983,70.8624839068375,43.93528848454025,57.29533588751292,67.20549308620139,84.92903105183632,75.01165360098867,72.39922569332657,68.34625628135791,36.82146304783191,103.32667215234504,83.13366279782713,0.0,0.0056818289426701,60.94054354883565,57.20092987072121,125.41312081576416,0,0,0
3,36.68755667429059,36.55948892766719,102.84644252044929,0,84.4664846860801,74.21791431037946,45.16417065779888,57.43106303635386,68.12635682506516,85.25350696897794,75.11313271326298,72.56609702636115,68.4116320695507,36.89715287606032,103.23547562373231,82.92364511085634,0.0,0.0,61.17716176311433,57.40155610930242,125.40079931394804,0,0,0
3,36.67009470950143,36.44307049309282,102.25089454109592,0,84.20223139678228,72.2919666553239,44.8305159680599,57.40155610930242,67.85300645721054,85.09126341261799,75.16686274738186,72.57801710091417,68.38191281843638,36.84474898100825,102.83427456557364,82.623655244352,0.0,0.0,60.89323007164057,57.21273102426176,126.72721300214972,0,0,0
4,68.98829948210869,38.09122230128333,107.3080708971588,0,68.53052063627774,50.44793825153829,41.95361305990764,55.45535736675311,66.463268261331,80.07016300237046,75.75205050847808,73.28146524126441,68.49484903547727,38.347632781100856,107.271486076128,84.73077739499922,0.0,0.0,68.58402088470575,60.97603972550587,125.826362921719,0,0,0
4,68.8931699631421,37.96885982839149,106.7169142844382,0,68.2689849143444,51.07076403897054,42.21067308911097,55.12533921727845,66.70668421019855,80.84895089438305,76.0208311158276,73.32917412291363,68.52457047436201,38.2543847534871,107.0033109984779,84.47849140961034,0.0,0.0,68.06098158582336,60.68030575887087,126.5976067052802,0,0,0
4,68.77425329399239,37.85233330327401,106.27217154101254,0,68.55429248901555,52.2995396129536,42.50868956154454,55.06641490656375,67.33022211033904,83.23569042089366,76.24185786364296,73.41862134936491,68.52457047436201,38.16697543856844,106.82658455020646,84.31032954224429,0.0,0.0056818289426701,67.7044758579118,60.47924900157568,126.20267029811384,0,0,0
5,66.25550967786921,36.57694962042751,102.81604061868256,0,86.56409884453115,61.83396896027216,45.02953041729006,56.66406798761909,70.18989046942534,89.1464477741174,76.90515207718317,72.08341753779814,69.8388392712418,37.36884373483326,102.840352595495,84.53856162406555,0.0,0.0,61.36056604247642,58.74174487313167,125.48713618257852,0,0,0
5,66.2080317506302,36.84474898100825,104.47013527849732,0,87.20176152700606,65.79260609790799,44.93587466318286,57.34844507581647,67.08671876945118,84.70675424665023,75.78191270079196,72.24428997020823,69.67225822455111,37.572703267116594,103.89221028869724,84.70074705142906,0.0,0.0,62.67461982424402,59.24388006373465,125.40695403047312,0,0,0
5,66.35048153704702,37.50863213001185,107.35682421855016,0,87.66513455962377,65.19935018036813,44.61982902197542,58.12169352455658,66.84324248971916,84.47849140961034,75.61469189200761,72.68530775478484,69.55923532318548,38.23690476453476,106.9545568666831,86.60620052079457,0.0,0.0,65.49001972759424,61.04110182019849,125.93122972108269,0,0,0
6,65.69173540603015,33.779526201780754,77.42522089851491,0,85.21144218617974,59.63388699056805,44.333100780110726,60.52064206938667,67.19361466056534,83.67386063001231,75.0594045566786,71.97021701602125,70.02327713355999,34.849033504043746,76.08056651924198,69.49380481584967,0.0,0.0,52.32894239885309,52.66423969581274,125.51180473545674,0,0,0
6,65.79854566945096,33.67494096399605,77.67635435246393,0,85.9447355100242,59.62207290923379,44.29799811744306,61.30140674829909,67.20549308620139,83.79392899782079,74.86839214433485,71.97021701602125,69.99948251524165,34.8025203457014,75.67440568999746,69.34511529887823,0.0056818289426701,0.0,51.61742076697965,52.32894239885309,126.40630276059755,0,0,0
6,65.95283193022306,33.74466365462786,77.80194229056451,0,85.92068757896322,59.80529089030097,44.327249803963696,61.40198295355731,67.24113471530745,83.84195896302754,74.79676642168852,71.96425350686832,69.98162662511322,34.814146372305004,75.51913947595767,69.35105702714782,0.0,0.0,51.59977806547113,52.276007453411694,126.57292100979612,0,0,0
7,64.58852481852409,38.242732353673546,112.6692043817734,0,76.54658230333098,67.9540252293682,43.274443192160106,56.70535791819884,65.5908771455579,83.03765434316892,74.31934686680506,72.54822290820448,69.00614381912283,39.02965931786821,107.893342751192,87.83968185894173,0.0056818289426701,0.0056818289426701,68.68508199968755,63.69349139206543,125.26512468505643,0,0,0
7,64.51737720649089,38.17280275944859,112.54076088098508,0,76.6660962750907,68.76831379869373,43.56681721712812,56.805638108176936,65.73920893455124,83.13966975151607,74.34321432342722,72.58994308837191,68.96452090448383,38.95969634167341,107.74701305061171,87.65309125925205,0.0,0.0,68.46512817234543,63.3557669993038,125.24046002592512,0,0,0
7,64.61224721357348,38.30683730969531,113.12800577029248,0,77.00676204265392,69.75554358316458,43.6837825575667,57.3307418080326,65.67394117897265,83.1516720081172,74.20598150848491,72.6793414689505,68.85155011280631,39.041323448595904,107.99700973014978,87.6952226493363,0.0,0.0,69.16075310157112,63.49795766802845,126.122475529226,0,0,0
8,62.14175937829259,37.269831895552215,73.68102991918295,0,67.77577153567881,61.84581168891327,45.696994464593445,54.00027763638855,70.47555540909661,87.45448733441981,75.66843945473374,72.16086951462148,70.63031278169274,39.07630783679542,107.42387890463306,87.16566037827579,0.0,0.0,67.49654905787156,67.43120065531457,125.41929966996577,0,0,0
8,62.230562357104645,37.3106023674568,73.63331011291348,0,68.12041403396097,62.82859181428148,45.97226220608218,54.10038616345946,70.68984481524649,87.94202118977091,75.32806994672546,72.32176169783452,70.71365013637887,39.134616940398246,107.33244141383648,87.1536268496584,0.0056818289426701,0.0,67.53219165034216,67.52031069415261,124.67944418580828,0,0,0
8,62.18912302387116,35.587666008700126,72.42902863608379,0,68.91100738744126,59.92350191245214,45.24613141647478,54.3300527566098,69.29753002931693,86.78063398739232,75.12507255858554,69.76744767019363,71.97021701602125,38.26604008823233,104.83524392583512,85.84253439139911,0.0,0.0,63.08920085336831,65.19341872274526,125.63515334112662,0,0,0
